from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246104624610561+1836918+1,246104624610561+1836923+1,1,
20,20,,,246106124610634+1836918+1,246106124610634+1836923+1,1,
20,20,,,246106724610842+1836918+1,246106724610842+1836923+1,1,
20,20,,,246109524611752+1836918+1,246109524611752+1836923+1,1,
20,20,,,246103224610342+1836920+1,246103224610342+1836925+1,1,
20,20,,,246098324610001+1836918+1,246098324610001+1836923+1,1,
20,20,,,246098324610002+1836918+1,246098324610002+1836923+1,1,
20,20,,,246100424610051+1836918+1,246100424610051+1836923+1,1,
20,20,,,246100424610052+1836918+1,246100424610052+1836923+1,1,
20,20,,,246101124610281+1836918+1,246101124610281+1836923+1,1,
20,20,,,246101124610283+1836918+1,246101124610283+1836923+1,1,
20,20,,,246104624610562+1836918+1,246104624610562+1836923+1,1,
20,20,,,246109524611751+1836918+1,246109524611751+1836923+1,1,
20,20,,,246098724610015+1836919+1,246098724610015+1836924+1,1,
20,20,,,246104624610564+1836918+1,246104624610564+1836923+1,1,
20,20,,,246101124610284+1836918+1,246101124610284+1836923+1,1,
20,20,,,246106724610843+1836918+1,246106724610843+1836923+1,1,
20,20,,,246108924610912+1836918+1,246108924610912+1836923+1,1,
20,20,,,246098324610003+1836918+1,246098324610003+1836923+1,1,
20,20,,,246101124610282+1836918+1,246101124610282+1836923+1,1,
20,20,,,246109524611753+1836918+1,246109524611753+1836923+1,1,
20,20,,,246109524611754+1836918+1,246109524611754+1836923+1,1,
20,20,,,246103924610401+1836920+1,246103924610401+1836925+1,1,
20,20,,,246098324610004+1836918+1,246098324610004+1836923+1,1,
20,20,,,246104624610563+1836918+1,246104624610563+1836923+1,1,
20,20,,,246106124610632+1836918+1,246106124610632+1836923+1,1,
20,20,,,246106724610844+1836918+1,246106724610844+1836923+1,1,
20,20,,,246108924610914+1836918+1,246108924610914+1836923+1,1,
20,20,,,246101524611765+1836919+1,246101524611765+1836924+1,1,
20,20,,,246103224610343+1836920+1,246103224610343+1836925+1,1,
20,20,,,246106124610633+1836918+1,246106124610633+1836923+1,1,
20,20,,,246106724610841+1836918+1,246106724610841+1836923+1,1,
20,20,,,246108924610913+1836918+1,246108924610913+1836923+1,1,
20,20,,,246100624610063+1836920+1,246100624610063+1836925+1,1,
20,20,,,246103224610341+1836920+1,246103224610341+1836925+1,1,
20,20,,,246103924610402+1836920+1,246103924610402+1836925+1,1,
20,20,,,246108924610914+1836994+1,246108924610914+1838967+1,1,
20,20,,,246103224610343+1836996+1,246103224610413+1837079+1,1,
20,20,,,246100424610051+1836994+1,246100424610051+1838967+1,1,
20,20,,,246101124610283+1836994+1,246101124610283+1838967+1,1,
20,20,,,246104624610563+1836994+1,246104624610563+1838967+1,1,
20,20,,,246104624610564+1836994+1,246104624610564+1838967+1,1,
20,20,,,246106124610634+1836994+1,246106124610634+1838967+1,1,
20,20,,,246106724610841+1836994+1,246106724610841+1838967+1,1,
20,20,,,246106724610844+1836994+1,246106724610844+1838967+1,1,
20,20,,,246109524611751+1836994+1,246109524611751+1838967+1,1,
20,20,,,246098324610002+1836994+1,246098324610002+1838967+1,1,
20,20,,,246106724610843+1836994+1,246106724610843+1838967+1,1,
20,20,,,246109524611754+1836994+1,246109524611754+1838967+1,1,
20,20,,,246100424610052+1836994+1,246100424610052+1838967+1,1,
20,20,,,246104624610561+1836994+1,246104624610561+1838967+1,1,
20,20,,,246104624610562+1836994+1,246104624610562+1838967+1,1,
20,20,,,246106124610633+1836994+1,246106124610633+1838967+1,1,
20,20,,,246108924610913+1836994+1,246108924610913+1838967+1,1,
20,20,,,246103224610341+1836996+1,246103224610411+1837079+1,1,
20,20,,,246103224610342+1836996+1,246103224610412+1837079+1,1,
20,20,,,246098324610004+1836994+1,246098324610004+1838967+1,1,
20,20,,,246101124610282+1836994+1,246101124610282+1838967+1,1,
20,20,,,246101124610284+1836994+1,246101124610284+1838967+1,1,
20,20,,,246098724610015+1836995+1,246098724610015+1837078+1,1,
20,20,,,246098324610003+1836994+1,246098324610003+1838967+1,1,
20,20,,,246106124610632+1836994+1,246106124610632+1838967+1,1,
20,20,,,246100624610063+1836996+1,246100624610063+1837079+1,1,
20,20,,,246103924610402+1836996+1,246103224610412+1837079+1,1,
20,20,,,246108924610912+1836994+1,246108924610912+1838967+1,1,
20,20,,,246109524611752+1836994+1,246109524611752+1838967+1,1,
20,20,,,246098324610001+1836994+1,246098324610001+1838967+1,1,
20,20,,,246101124610281+1836994+1,246101124610281+1838967+1,1,
20,20,,,246106724610842+1836994+1,246106724610842+1838967+1,1,
20,20,,,246109524611753+1836994+1,246109524611753+1838967+1,1,
20,20,,,246101524611765+1836995+1,246101524611765+1837078+1,1,
20,20,,,246103924610401+1836996+1,246103224610411+1837079+1,1,
33,33,,,246101124610282+1839086+1,246101124610282+1838846+1,1,
33,33,,,246104624610561+1839086+1,246104624610561+1838846+1,1,
33,33,,,246109524611751+1839086+1,246109524611751+1838846+1,1,
33,33,,,246100624610063+1839088+1,246100624610063+1838848+1,1,
33,33,,,246098324610002+1839097+1,246098324610002+1838852+1,1,
33,33,,,246101124610281+1839097+1,246101124610281+1838852+1,1,
33,33,,,246104624610561+1839097+1,246104624610561+1838852+1,1,
33,33,,,246100424610052+1839097+1,246100424610052+1838858+1,1,
33,33,,,246101124610281+1839097+1,246101124610281+1838858+1,1,
33,33,,,246101124610282+1839097+1,246101124610282+1838858+1,1,
33,33,,,246108924610913+1839097+1,246108924610913+1838858+1,1,
33,33,,,246103224610411+1839099+1,246103224610411+1838860+1,1,
33,33,,,246103224610411+1839099+1,246103924610401+1838854+1,1,
33,33,,,246103624610435+1839100+1,246101524611765+1838859+1,1,
33,33,,,246098324610004+1839105+1,246098324610004+1838865+1,1,
33,33,,,246101124610283+1839105+1,246101124610283+1838865+1,1,
33,33,,,246106124610633+1839105+1,246106124610633+1838865+1,1,
33,33,,,246103224610411+1839107+1,246103224610341+1838867+1,1,
33,33,,,246103624610435+1839108+1,246101524611765+1838866+1,1,
33,33,,,246098324610004+1839109+1,246098324610004+1838886+1,1,
33,33,,,246106124610632+1839109+1,246106124610632+1838886+1,1,
33,33,,,246106724610843+1839109+1,246106724610843+1838886+1,1,
33,33,,,246106124610633+1839129+1,246106124610633+1838898+1,1,
33,33,,,246108924610914+1839129+1,246108924610914+1838898+1,1,
33,33,,,246104624610563+1839138+1,246104624610563+1838904+1,1,
33,33,,,246109524611751+1839138+1,246109524611751+1838904+1,1,
33,33,,,246098324610002+1839141+1,246098324610002+1838904+1,1,
33,33,,,246104624610564+1839141+1,246104624610564+1838904+1,1,
33,33,,,246101124610281+1839145+1,246101124610281+1838907+1,1,
33,33,,,246104624610562+1839145+1,246104624610562+1838907+1,1,
33,33,,,246104624610564+1839145+1,246104624610564+1838907+1,1,
33,33,,,246108924610912+1839145+1,246108924610912+1838907+1,1,
33,33,,,246103224610413+1839147+1,246103224610343+1838909+1,1,
33,33,,,246103224610412+1839147+1,246103924610402+1838909+1,1,
33,33,,,246106124610632+1839151+1,246106124610632+1838919+1,1,
33,33,,,246106124610633+1839151+1,246106124610633+1838919+1,1,
33,33,,,246108924610913+1839151+1,246108924610913+1838919+1,1,
33,33,,,246098324610002+1839157+1,246098324610002+1838925+1,1,
33,33,,,246100424610051+1839157+1,246100424610051+1838925+1,1,
33,33,,,246106724610844+1839157+1,246106724610844+1838925+1,1,
33,33,,,246098724610015+1839158+1,246098724610015+1838926+1,1,
33,33,,,246101524611765+1839158+1,246105024611765+1838926+1,1,
33,33,,,246103224610412+1839159+1,246103224610412+1838927+1,1,
33,33,,,246103224610413+1839159+1,246103224610413+1838927+1,1,
33,33,,,246104624610563+1839163+0,246104624610563+1837073+0,1,
33,33,,,246106124610633+1839163+0,246106124610633+1837073+0,1,
33,33,,,246108924610913+1839163+0,246108924610913+1837073+0,1,
33,33,,,246100624610063+1839364+0,246100624610063+1839002+0,1,
33,33,,,246104624610562+1839453+0,246104624610562+1839006+0,1,
33,33,,,246104624610563+1839453+0,246104624610563+1839006+0,1,
33,33,,,246100424610051+1839507+0,246100424610051+1839012+0,1,
33,33,,,246101124610284+1839507+0,246101124610284+1839012+0,1,
33,33,,,246106724610841+1839507+0,246106724610841+1839012+0,1,
33,33,,,246109524611752+1839507+0,246109524611752+1839012+0,1,
33,33,,,246103224610413+1839509+0,246103224610413+1839014+0,1,
33,33,,,246098324610004+1839523+0,246098324610004+1839015+0,1,
33,33,,,246101124610281+1839523+0,246101124610281+1839015+0,1,
33,33,,,246101124610284+1839523+0,246101124610284+1839015+0,1,
33,33,,,246106124610633+1839523+0,246106124610633+1839015+0,1,
33,33,,,246106724610841+1839523+0,246106724610841+1839015+0,1,
33,33,,,246108924610913+1839523+0,246108924610913+1839015+0,1,
