route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
1,246098124609816,246098124609816+1837105+0,Poughkeepsie,4819,0,,12,1,0
1,246098124609816,246098124609816+1837131+0,Grand Central,4860,1,,1,1,0
1,246098124609816,246098124609816+1839294+0,Croton-Harmon,8725,0,,12,1,0
1,246098124609816,246098124609816+1839299+0,Grand Central,8726,1,,1,1,0
1,246098124609816,246098124609816+1839312+0,Croton-Harmon,8729,0,,12,1,0
1,246098124609816,246098124609816+1839317+0,Grand Central,8730,1,,1,1,0
1,246098124609816,246098124609816+1839330+0,Croton-Harmon,8733,0,,12,1,0
1,246098124609816,246098124609816+1839335+0,Grand Central,8734,1,,1,1,0
1,246098124609816,246098124609816+1839348+0,Croton-Harmon,8737,0,,12,1,0
1,246098124609816,246098124609816+1839353+0,Grand Central,8738,1,,1,1,0
1,246098124609816,246098124609816+1839401+0,Croton-Harmon,8749,0,,12,1,0
1,246098124609816,246098124609816+1839421+0,Croton-Harmon,8753,0,,12,1,0
1,246098124609816,246098124609816+1839426+0,Grand Central,8754,1,,1,1,0
1,246098124609816,246098124609816+1839439+0,Croton-Harmon,8757,0,,12,1,0
1,246098124609816,246098124609816+1839444+0,Grand Central,8758,1,,1,1,0
1,246098124609816,246098124609816+1839581+0,Poughkeepsie,8823,0,,12,1,0
1,246098124609816,246098124609816+1839591+0,Grand Central,8826,1,,1,1,0
1,246098124609816,246098124609816+1839596+0,Poughkeepsie,8827,0,,12,1,0
1,246098124609816,246098124609816+1839601+0,Grand Central,8828,1,,1,1,0
1,246098124609816,246098124609816+1839610+0,Poughkeepsie,8831,0,,12,1,0
1,246098124609816,246098124609816+1839615+0,Grand Central,8832,1,,1,1,0
1,246098124609816,246098124609816+1839620+0,Poughkeepsie,8835,0,,12,1,0
1,246098124609816,246098124609816+1839625+0,Grand Central,8836,1,,1,1,0
1,246098124609816,246098124609816+1839634+0,Grand Central,8840,1,,1,1,0
1,246098124609816,246098124609816+1839649+0,Poughkeepsie,8845,0,,12,1,0
1,246098124609816,246098124609816+1839658+0,Poughkeepsie,8847,0,,12,1,0
1,246098124609816,246098124609816+1839663+0,Grand Central,8848,1,,1,1,0
1,246098124609816,246098124609816+1839668+0,Poughkeepsie,8849,0,,12,1,0
1,246098124609816,246098124609816+1839673+0,Poughkeepsie,8851,0,,12,1,0
1,246098124609816,246098124609816+1839678+0,Grand Central,8852,1,,1,1,0
1,246098124609816,246098124609816+1839683+0,Poughkeepsie,8855,0,,12,1,0
1,246098124609816,246098124609816+1839688+0,Grand Central,8856,1,,1,1,0
1,246098124609816,246098124609816+1839700+0,Grand Central,8860,1,,1,1,0
5,246098124609816,246098124609816+1840676+0,Danbury (Bus),EB6810,0,,34,0,0
5,246098124609816,246098124609816+1840677+0,South Norwalk (Bus),EB6813,1,,33,0,0
5,246098124609816,246098124609816+1840678+0,Danbury (Bus),EB6822,0,,34,0,0
5,246098124609816,246098124609816+1840679+0,South Norwalk (Bus),EB6825,1,,33,0,0
5,246098124609816,246098124609816+1840680+0,Danbury (Bus),EB6834,0,,34,0,0
5,246098124609816,246098124609816+1840681+0,South Norwalk (Bus),EB6837,1,,33,0,0
5,246098124609816,246098124609816+1840682+0,Danbury (Bus),EB6846,0,,34,0,0
5,246098124609816,246098124609816+1840683+0,South Norwalk (Bus),EB6849,1,,33,0,0
5,246098124609816,246098124609816+1840685+0,Danbury (Bus),LB6810,0,,34,0,0
5,246098124609816,246098124609816+1840686+0,South Norwalk (Bus),LB6813,1,,33,0,0
5,246098124609816,246098124609816+1840687+0,Danbury (Bus),LB6822,0,,34,0,0
5,246098124609816,246098124609816+1840688+0,South Norwalk (Bus),LB6825,1,,33,0,0
5,246098124609816,246098124609816+1840689+0,Danbury (Bus),LB6834,0,,34,0,0
5,246098124609816,246098124609816+1840690+0,South Norwalk (Bus),LB6837,1,,33,0,0
5,246098124609816,246098124609816+1840691+0,Danbury (Bus),LB6846,0,,34,0,0
5,246098124609816,246098124609816+1840692+0,South Norwalk (Bus),LB6849,1,,33,0,0
5,246098124609816,246098124609816+1840693+0,South Norwalk (Bus),LB6861,1,,33,0,0
5,246098124609816,246098124609816+1840694+0,Danbury (Bus),LB6862,0,,34,0,0
5,246098124609816,246098124609816+1840696+0,South Norwalk (Bus),LB6873,1,,33,0,0
1,246098124609886,246098124609886+1837097+0,Beacon,4811,0,,12,1,0
1,246098124609886,246098124609886+1837101+0,Poughkeepsie,4815,0,,12,1,0
1,246098124609886,246098124609886+1837108+0,Beacon,4823,0,,12,1,0
1,246098124609886,246098124609886+1837126+0,Grand Central,4852,1,,1,1,0
1,246098124609886,246098124609886+1837128+0,Grand Central,4856,1,,1,1,0
3,246098124609886,246098124609886+1837827+0,Grand Central,6203,1,,5,1,0
3,246098124609886,246098124609886+1837855+0,Grand Central,6301,1,,5,1,0
3,246098124609886,246098124609886+1837863+0,Grand Central,6303,1,,5,1,0
3,246098124609886,246098124609886+1837871+0,Grand Central,6305,1,,5,1,0
3,246098124609886,246098124609886+1837875+0,Stamford,6306,0,,16,1,0
3,246098124609886,246098124609886+1837879+0,Grand Central,6307,1,,5,1,0
3,246098124609886,246098124609886+1837881+0,Stamford,6308,0,,16,1,0
3,246098124609886,246098124609886+1837883+0,Grand Central,6309,1,,5,1,0
3,246098124609886,246098124609886+1837887+0,Stamford,6310,0,,16,1,0
3,246098124609886,246098124609886+1837891+0,Grand Central,6311,1,,5,1,0
