from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
20,20,,,246097624610002+1824202+1,246097624610002+1824207+1,1,
20,20,,,246097624610003+1824202+1,246097624610003+1824207+1,1,
20,20,,,246104624610564+1824202+1,246104624610564+1824207+1,1,
20,20,,,246106724610844+1824202+1,246106724610844+1824207+1,1,
20,20,,,246100624610063+1824203+1,246100624610063+1824208+1,1,
20,20,,,246101124610281+1824202+1,246101124610281+1824207+1,1,
20,20,,,246101124610283+1824202+1,246101124610283+1824207+1,1,
20,20,,,246106124610633+1824202+1,246106124610633+1824207+1,1,
20,20,,,246106724610842+1824202+1,246106724610842+1824207+1,1,
20,20,,,246103924610401+1824203+1,246103924610401+1824208+1,1,
20,20,,,246104624610563+1824202+1,246104624610563+1824207+1,1,
20,20,,,246101524611765+1824201+1,246101524611765+1824206+1,1,
20,20,,,246100424610052+1824202+1,246100424610052+1824207+1,1,
20,20,,,246101124610284+1824202+1,246101124610284+1824207+1,1,
20,20,,,246104624610561+1824202+1,246104624610561+1824207+1,1,
20,20,,,246106124610632+1824202+1,246106124610632+1824207+1,1,
20,20,,,246106724610841+1824202+1,246106724610841+1824207+1,1,
20,20,,,246108924610913+1824202+1,246108924610913+1824207+1,1,
20,20,,,246097324610015+1824201+1,246097324610015+1824206+1,1,
20,20,,,246106124610634+1824202+1,246106124610634+1824207+1,1,
20,20,,,246109524611752+1824202+1,246109524611752+1824207+1,1,
20,20,,,246097624610001+1824202+1,246097624610001+1824207+1,1,
20,20,,,246097624610004+1824202+1,246097624610004+1824207+1,1,
20,20,,,246100424610051+1824202+1,246100424610051+1824207+1,1,
20,20,,,246104624610562+1824202+1,246104624610562+1824207+1,1,
20,20,,,246108924610914+1824202+1,246108924610914+1824207+1,1,
20,20,,,246109524611751+1824202+1,246109524611751+1824207+1,1,
20,20,,,246109524611754+1824202+1,246109524611754+1824207+1,1,
20,20,,,246101124610282+1824202+1,246101124610282+1824207+1,1,
20,20,,,246106724610843+1824202+1,246106724610843+1824207+1,1,
20,20,,,246108924610912+1824202+1,246108924610912+1824207+1,1,
20,20,,,246109524611753+1824202+1,246109524611753+1824207+1,1,
20,20,,,246103224610341+1824203+1,246103224610341+1824208+1,1,
20,20,,,246103224610342+1824203+1,246103224610342+1824208+1,1,
20,20,,,246103224610343+1824203+1,246103224610343+1824208+1,1,
20,20,,,246103924610402+1824203+1,246103924610402+1824208+1,1,
20,20,,,246097624610004+1824278+1,246097624610004+1826249+1,1,
20,20,,,246104624610564+1824278+1,246104624610564+1826249+1,1,
20,20,,,246106124610634+1824278+1,246106124610634+1826249+1,1,
20,20,,,246097624610001+1824278+1,246097624610001+1826249+1,1,
20,20,,,246106724610841+1824278+1,246106724610841+1826249+1,1,
20,20,,,246106724610844+1824278+1,246106724610844+1826249+1,1,
20,20,,,246109524611751+1824278+1,246109524611751+1826249+1,1,
20,20,,,246109524611752+1824278+1,246109524611752+1826249+1,1,
20,20,,,246097624610002+1824278+1,246097624610002+1826249+1,1,
20,20,,,246101124610281+1824278+1,246101124610281+1826249+1,1,
20,20,,,246101124610283+1824278+1,246101124610283+1826249+1,1,
20,20,,,246108924610914+1824278+1,246108924610914+1826249+1,1,
20,20,,,246100624610063+1824279+1,246100624610063+1824362+1,1,
20,20,,,246103224610342+1824279+1,246103224610412+1824362+1,1,
20,20,,,246103924610402+1824279+1,246103224610412+1824362+1,1,
20,20,,,246097324610015+1824277+1,246097324610015+1824361+1,1,
20,20,,,246100424610051+1824278+1,246100424610051+1826249+1,1,
20,20,,,246101124610282+1824278+1,246101124610282+1826249+1,1,
20,20,,,246108924610913+1824278+1,246108924610913+1826249+1,1,
20,20,,,246109524611753+1824278+1,246109524611753+1826249+1,1,
20,20,,,246103924610401+1824279+1,246103224610411+1824362+1,1,
20,20,,,246101524611765+1824277+1,246101524611765+1824361+1,1,
20,20,,,246101124610284+1824278+1,246101124610284+1826249+1,1,
20,20,,,246106124610632+1824278+1,246106124610632+1826249+1,1,
20,20,,,246109524611754+1824278+1,246109524611754+1826249+1,1,
20,20,,,246103224610341+1824279+1,246103224610411+1824362+1,1,
20,20,,,246104624610562+1824278+1,246104624610562+1826249+1,1,
20,20,,,246104624610563+1824278+1,246104624610563+1826249+1,1,
20,20,,,246106124610633+1824278+1,246106124610633+1826249+1,1,
20,20,,,246106724610842+1824278+1,246106724610842+1826249+1,1,
20,20,,,246097624610003+1824278+1,246097624610003+1826249+1,1,
20,20,,,246100424610052+1824278+1,246100424610052+1826249+1,1,
20,20,,,246104624610561+1824278+1,246104624610561+1826249+1,1,
20,20,,,246106724610843+1824278+1,246106724610843+1826249+1,1,
20,20,,,246108924610912+1824278+1,246108924610912+1826249+1,1,
20,20,,,246103224610343+1824279+1,246103224610413+1824362+1,1,
33,33,,,246098224609897+1828047+0,246097524609897+1826559+0,1,
33,33,,,246110024611776+1828048+0,246110024611776+1826560+0,1,
33,33,,,246097324610015+1826644+0,246097324610015+1826282+0,1,
33,33,,,246100424610052+1826645+0,246100424610052+1826283+0,1,
33,33,,,246104624610564+1826645+0,246104624610564+1826283+0,1,
33,33,,,246106124610632+1826645+0,246106124610632+1826283+0,1,
33,33,,,246109524611753+1826645+0,246109524611753+1826283+0,1,
33,33,,,246109524611754+1826645+0,246109524611754+1826283+0,1,
33,33,,,246097624610001+1826738+0,246097624610001+1826289+0,1,
33,33,,,246101124610283+1826738+0,246101124610283+1826289+0,1,
33,33,,,246106124610633+1826738+0,246106124610633+1826289+0,1,
33,33,,,246106124610634+1826738+0,246106124610634+1826289+0,1,
33,33,,,246108924610912+1826738+0,246108924610912+1826289+0,1,
33,33,,,246109524611751+1826738+0,246109524611751+1826289+0,1,
33,33,,,246109524611753+1826738+0,246109524611753+1826289+0,1,
33,33,,,246101524611765+1826791+0,246101524611765+1826294+0,1,
33,33,,,246101124610282+1826792+0,246101124610282+1826295+0,1,
33,33,,,246104624610562+1826792+0,246104624610562+1826295+0,1,
