route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
3,246097324609735,246097324609735+1822584+0,Stamford,1302,0,,16,1,0
3,246097324609735,246097324609735+1822590+0,Stamford,1304,0,,16,1,0
3,246097324609735,246097324609735+1822828+0,Grand Central,1399,1,,5,1,0
3,246097324609735,246097324609735+1822899+0,New Haven,1502,0,,16,1,0
1,246097324609735,246097324609735+1826346+0,Croton-Harmon,797,0,,12,1,0
1,246097324609735,246097324609735+1826352+0,Croton-Harmon,799,0,,12,1,0
1,246097324609735,246097324609735+1827043+0,Poughkeepsie,897,0,,12,1,0
6,246097324609735,246097324609735+1827857+0,Waterbury (Bus),B1456,0,,48,0,0
6,246097324609735,246097324609735+1827858+0,Waterbury (Bus),B1538,0,,48,0,0
3,246097324610015,246097324610015+1822514+1,Grand Central,1213,1,,5,1,1
3,246097324610015,246097324610015+1822517+1,Grand Central,1221,1,,5,1,1
3,246097324610015,246097324610015+1822520+1,Grand Central,1225,1,,5,1,1
3,246097324610015,246097324610015+1822523+1,Grand Central,1229,1,,5,1,1
3,246097324610015,246097324610015+1822526+1,Grand Central,1231,1,,5,1,1
3,246097324610015,246097324610015+1822529+1,Grand Central,1233,1,,5,1,1
3,246097324610015,246097324610015+1822532+1,Grand Central,1237,1,,5,1,1
3,246097324610015,246097324610015+1822535+0,Grand Central,1239,1,,5,1,0
3,246097324610015,246097324610015+1822538+0,Grand Central,1241,1,,5,1,0
3,246097324610015,246097324610015+1822541+1,Harrison,1244,0,,16,1,1
3,246097324610015,246097324610015+1822544+1,Harrison,1248,0,,16,1,1
3,246097324610015,246097324610015+1822547+1,Harrison,1254,0,,16,1,1
3,246097324610015,246097324610015+1822550+1,New Rochelle,1256,0,,16,1,1
3,246097324610015,246097324610015+1822553+1,Harrison,1260,0,,16,1,1
3,246097324610015,246097324610015+1822556+1,Harrison,1264,0,,16,1,1
3,246097324610015,246097324610015+1822559+1,New Rochelle,1268,0,,16,1,1
3,246097324610015,246097324610015+1822562+1,Harrison,1270,0,,16,1,1
3,246097324610015,246097324610015+1822565+1,Harrison,1274,0,,16,1,1
3,246097324610015,246097324610015+1822568+0,Grand Central,1275,1,,5,1,0
3,246097324610015,246097324610015+1822571+0,Grand Central,1279,1,,5,1,0
3,246097324610015,246097324610015+1822574+0,Grand Central,1299,1,,5,1,0
3,246097324610015,246097324610015+1822577+0,Stamford,1300,0,,16,1,0
3,246097324610015,246097324610015+1822580+0,Grand Central,1301,1,,5,1,0
3,246097324610015,246097324610015+1822587+1,Grand Central,1303,1,,5,1,1
3,246097324610015,246097324610015+1822593+1,Grand Central,1305,1,,5,1,1
3,246097324610015,246097324610015+1822597+0,Greenwich,1306,0,,16,1,0
3,246097324610015,246097324610015+1822600+1,Grand Central,1307,1,,5,1,1
3,246097324610015,246097324610015+1822603+1,Greenwich,1308,0,,16,1,1
3,246097324610015,246097324610015+1822607+1,Grand Central,1309,1,,5,1,1
3,246097324610015,246097324610015+1822610+1,Greenwich,1310,0,,16,1,1
3,246097324610015,246097324610015+1822613+1,Grand Central,1311,1,,5,1,1
3,246097324610015,246097324610015+1822617+1,Stamford,1312,0,,16,1,1
3,246097324610015,246097324610015+1822620+1,Stamford,1314,0,,16,1,1
3,246097324610015,246097324610015+1822623+1,Grand Central,1315,1,,5,1,1
3,246097324610015,246097324610015+1822626+0,Stamford,1316,0,,16,1,0
3,246097324610015,246097324610015+1822629+1,Grand Central,1317,1,,5,1,1
3,246097324610015,246097324610015+1822632+0,Stamford,1318,0,,16,1,0
3,246097324610015,246097324610015+1822635+0,Stamford,1320,0,,16,1,0
3,246097324610015,246097324610015+1822638+1,Grand Central,1321,1,,5,1,1
3,246097324610015,246097324610015+1822641+0,Stamford,1322,0,,16,1,0
3,246097324610015,246097324610015+1822644+0,Stamford,1324,0,,16,1,0
3,246097324610015,246097324610015+1822647+1,Grand Central,1325,1,,5,1,1
3,246097324610015,246097324610015+1822650+0,Stamford,1326,0,,16,1,0
3,246097324610015,246097324610015+1822653+1,Grand Central,1327,1,,5,1,1
3,246097324610015,246097324610015+1822656+0,Stamford,1328,0,,16,1,0
3,246097324610015,246097324610015+1822659+0,Stamford,1330,0,,16,1,0
3,246097324610015,246097324610015+1822662+1,Grand Central,1331,1,,5,1,1
3,246097324610015,246097324610015+1822665+0,Stamford,1332,0,,16,1,0
3,246097324610015,246097324610015+1822668+1,Grand Central,1333,1,,5,1,1
3,246097324610015,246097324610015+1822671+0,Stamford,1334,0,,16,1,0
3,246097324610015,246097324610015+1822674+1,Grand Central,1335,1,,5,1,1
3,246097324610015,246097324610015+1822678+0,Stamford,1336,0,,16,1,0
3,246097324610015,246097324610015+1822681+0,Stamford,1338,0,,16,1,0
3,246097324610015,246097324610015+1822684+0,Grand Central,1339,1,,5,1,0
3,246097324610015,246097324610015+1822687+0,Stamford,1340,0,,16,1,0
3,246097324610015,246097324610015+1822690+0,Grand Central,1341,1,,5,1,0
3,246097324610015,246097324610015+1822693+0,Stamford,1342,0,,16,1,0
3,246097324610015,246097324610015+1822696+1,Stamford,1346,0,,16,1,1
3,246097324610015,246097324610015+1822700+0,Grand Central,1347,1,,5,1,0
3,246097324610015,246097324610015+1822703+0,Grand Central,1349,1,,5,1,0
3,246097324610015,246097324610015+1822706+0,Grand Central,1351,1,,5,1,0
3,246097324610015,246097324610015+1822709+1,Stamford,1352,0,,16,1,1
3,246097324610015,246097324610015+1822712+0,Grand Central,1353,1,,5,1,0
3,246097324610015,246097324610015+1822715+0,Grand Central,1355,1,,5,1,0
3,246097324610015,246097324610015+1822718+0,Grand Central,1357,1,,5,1,0
3,246097324610015,246097324610015+1822721+1,Stamford,1358,0,,16,1,1
3,246097324610015,246097324610015+1822725+0,Grand Central,1359,1,,5,1,0
